"";"NDepto";"NMpio";"PP";"ZZ";"Npuesto";"num_mesas";"num_votos"
"1";"AMAZONAS";"EL ENCANTO";"00";0;"CORREGIMIENTO DEPARTAMENTAL";3;381
"2";"AMAZONAS";"LA CHORRERA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";3;652
"3";"AMAZONAS";"LA PEDRERA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";3;463
"4";"AMAZONAS";"LA VICTORIA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";1;29
"5";"AMAZONAS";"LETICIA";"01";1;"IE INEM JOSE EUSTACIO RIVERA";24;3946
"6";"AMAZONAS";"LETICIA";"01";2;"IE MARCELIANO E. CAYNES";35;6719
"7";"AMAZONAS";"LETICIA";"01";98;"CARCEL";1;56
"8";"AMAZONAS";"LETICIA";"02";1;"IE JORGE ELIECER GAITAN";15;2426
"9";"AMAZONAS";"LETICIA";"02";2;"CTRO DE INTEGRACION CIUDADANA";23;4028
"10";"AMAZONAS";"LETICIA";"25";99;"INSP. DE POL. EL CALDERON";1;12
"11";"AMAZONAS";"LETICIA";"70";99;"INSP. DE POL. SANTA SOFIA";6;1153
"12";"AMAZONAS";"MIRITI PARANA";"00";0;"PUESTO CABECERA MUNICIPAL";2;164
"13";"AMAZONAS";"MIRITI PARANA";"70";99;"SANTA ISABEL";1;11
"14";"AMAZONAS";"PUERTO ALEGRIA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";1;89
"15";"AMAZONAS";"PUERTO ARICA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";2;209
"16";"AMAZONAS";"PUERTO NARIÑO";"00";0;"PUESTO CABECERA MUNICIPAL";12;2648
"17";"AMAZONAS";"PUERTO NARIÑO";"20";99;"ATACUARI";1;226
"18";"AMAZONAS";"PUERTO SANTANDER";"00";0;"CORREGIMIENTO DEPARTAMENTAL";2;257
"19";"AMAZONAS";"TARAPACA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";4;638
"20";"ANTIOQUIA";"ABEJORRAL";"00";0;"PUESTO CABECERA MUNICIPAL";37;3745
"21";"ANTIOQUIA";"ABEJORRAL";"01";98;"CARCEL MUNICIPAL";1;7
"22";"ANTIOQUIA";"ABEJORRAL";"01";99;"PANTANILLO";3;247
"23";"ANTIOQUIA";"ABEJORRAL";"09";99;"CHAGUALAL";2;161
"24";"ANTIOQUIA";"ABEJORRAL";"11";99;"GUAICO GRANDE";2;116
"25";"ANTIOQUIA";"ABEJORRAL";"17";99;"PORTUGAL";1;58
"26";"ANTIOQUIA";"ABEJORRAL";"40";99;"PURIMA";1;73
"27";"ANTIOQUIA";"ABRIAQUI";"00";0;"PUESTO CABECERA MUNICIPAL";5;722
"28";"ANTIOQUIA";"ABRIAQUI";"05";99;"LA ANTIGUA";2;314
"29";"ANTIOQUIA";"ALEJANDRIA";"00";0;"PUESTO CABECERA MUNICIPAL";14;2166
"30";"ANTIOQUIA";"AMAGA";"00";0;"PUESTO CABECERA MUNICIPAL";56;7108
"31";"ANTIOQUIA";"AMAGA";"01";98;"CARCEL MUNICIPAL";1;7
"32";"ANTIOQUIA";"AMAGA";"03";99;"EL CEDRO";3;194
"33";"ANTIOQUIA";"AMAGA";"05";99;"LA CLARITA";6;671
"34";"ANTIOQUIA";"AMALFI";"00";0;"PUESTO CABECERA MUNICIPAL";48;4813
"35";"ANTIOQUIA";"AMALFI";"01";98;"CARCEL";1;12
"36";"ANTIOQUIA";"AMALFI";"10";99;"PORTACHUELO";2;123
"37";"ANTIOQUIA";"ANDES";"01";1;"COLISEO PEDRO ANTONIO RPO ESCO";9;1351
"38";"ANTIOQUIA";"ANDES";"01";2;"COL MARCO FIDEL SUAREZ";15;2456
"39";"ANTIOQUIA";"ANDES";"01";90;"COLEGIO JUAN DE DIOS URIBE";11;2607
"40";"ANTIOQUIA";"ANDES";"01";98;"CARCEL";1;51
"41";"ANTIOQUIA";"ANDES";"01";99;"BUENOS AIRES";4;415
"42";"ANTIOQUIA";"ANDES";"02";1;"COL SAN JUAN DE LOS ANDES";17;3239
"43";"ANTIOQUIA";"ANDES";"02";2;"ESC LUIS GUTIERREZ";11;1349
"44";"ANTIOQUIA";"ANDES";"03";1;"CERUR LA AGUADA";1;46
"45";"ANTIOQUIA";"ANDES";"03";2;"PLACA POLIDEPORTIVA";1;121
"46";"ANTIOQUIA";"ANDES";"03";99;"LA CHAPARRALA";1;174
"47";"ANTIOQUIA";"ANDES";"05";99;"SAN JOSE";3;363
"48";"ANTIOQUIA";"ANDES";"06";99;"SAN BARTOLO";1;146
"49";"ANTIOQUIA";"ANDES";"09";99;"SANTA INES";4;569
"50";"ANTIOQUIA";"ANDES";"13";99;"SANTA RITA";7;1043
"51";"ANTIOQUIA";"ANDES";"17";99;"TAPARTO";6;916
"52";"ANTIOQUIA";"ANDES";"23";99;"SAN PERUCHITO";3;415
"53";"ANTIOQUIA";"ANGELOPOLIS";"00";0;"PUESTO CABECERA MUNICIPAL";15;2279
"54";"ANTIOQUIA";"ANGELOPOLIS";"01";99;"ESTACION ANGELOPOLIS";3;421
"55";"ANTIOQUIA";"ANGELOPOLIS";"70";99;"SANTA ANA";1;19
"56";"ANTIOQUIA";"ANGOSTURA";"00";0;"PUESTO CABECERA MUNICIPAL";24;2263
"57";"ANTIOQUIA";"ANGOSTURA";"06";99;"CANOAS";2;185
"58";"ANTIOQUIA";"ANGOSTURA";"12";99;"LA MONTAÑITA";1;117
"59";"ANTIOQUIA";"ANGOSTURA";"15";99;"LLANOS DE CUIVA";1;108
"60";"ANTIOQUIA";"ANORI";"00";0;"PUESTO CABECERA MUNICIPAL";26;2077
"61";"ANTIOQUIA";"ANORI";"01";98;"CARCEL MUNICIPAL";1;9
"62";"ANTIOQUIA";"ANORI";"03";99;"LA MESETA";1;29
"63";"ANTIOQUIA";"ANORI";"05";99;"LIBERIA";2;259
"64";"ANTIOQUIA";"ANORI";"09";99;"EL ROBLE";3;352
"65";"ANTIOQUIA";"ANORI";"13";99;"MADRE SECA";1;43
"66";"ANTIOQUIA";"ANORI";"15";99;"EL CARMIN";1;33
"67";"ANTIOQUIA";"ANORI";"16";99;"LA CASITA";1;114
"68";"ANTIOQUIA";"ANORI";"37";99;"SANTO DOMINGO";1;19
"69";"ANTIOQUIA";"ANTIOQUIA";"00";0;"PUESTO CABECERA MUNICIPAL";52;6359
"70";"ANTIOQUIA";"ANTIOQUIA";"01";98;"CARCEL";1;37
"71";"ANTIOQUIA";"ANTIOQUIA";"01";99;"CATIVO";1;68
"72";"ANTIOQUIA";"ANTIOQUIA";"04";99;"EL PESCADO";2;181
"73";"ANTIOQUIA";"ANTIOQUIA";"05";99;"LAURELES";2;202
"74";"ANTIOQUIA";"ANTIOQUIA";"07";99;"LAS AZULES";1;62
"75";"ANTIOQUIA";"ANTIOQUIA";"09";99;"TONUSCO ARRIBA";2;185
"76";"ANTIOQUIA";"ANTIOQUIA";"15";99;"SABANAS";2;173
"77";"ANTIOQUIA";"ANZA";"00";0;"PUESTO CABECERA MUNICIPAL";11;1051
"78";"ANTIOQUIA";"ANZA";"01";99;"GUINTAR";5;691
"79";"ANTIOQUIA";"ANZA";"30";99;"LA CEJITA";2;168
"80";"ANTIOQUIA";"APARTADO";"01";1;"I.E ALFONSO LOPEZ";22;3138
"81";"ANTIOQUIA";"APARTADO";"01";2;"I.E. HERACLIO MENA PADILLA";23;2993
"82";"ANTIOQUIA";"APARTADO";"01";90;"COLIS.ANTONIO ROLDAN BETANCUR";11;2134
"83";"ANTIOQUIA";"APARTADO";"01";98;"CARCEL";1;38
"84";"ANTIOQUIA";"APARTADO";"02";1;"I.E. POLICARPA SALAVARRIETA";23;3072
"85";"ANTIOQUIA";"APARTADO";"02";2;"COLEGIO ADVENTISTA";16;1731
"86";"ANTIOQUIA";"APARTADO";"03";1;"I. E. LA PAZ";11;1348
"87";"ANTIOQUIA";"APARTADO";"03";2;"I.E  CADENA LAS PLAYAS";1;82
"88";"ANTIOQUIA";"APARTADO";"04";1;"I.E LA PAZ ""S 20 DE ENERO""";1;86
"89";"ANTIOQUIA";"APARTADO";"04";2;"I. E. CAMPO ALEGRE";5;591
"90";"ANTIOQUIA";"APARTADO";"05";1;"I. E. SAN FRANCISCO DE ASIS";25;4113
"91";"ANTIOQUIA";"APARTADO";"05";2;"IE MADRE LAURA";14;1532
"92";"ANTIOQUIA";"APARTADO";"06";1;"I. E. SAN PEDRO CLAVER";20;2505
"93";"ANTIOQUIA";"APARTADO";"06";2;"COL COOPERATIVO";18;2635
"94";"ANTIOQUIA";"APARTADO";"07";1;"HOGAR INFANTIL LOS  GIRASOLES";11;1359
"95";"ANTIOQUIA";"APARTADO";"07";2;"IE JOSE JOAQUIN VELEZ";25;3464
"96";"ANTIOQUIA";"APARTADO";"08";1;"I. E. SANTA MARIA LA ANTIGUA";1;110
"97";"ANTIOQUIA";"APARTADO";"08";2;"I.E JOSE CELESTINO MUTIS";9;1103
"98";"ANTIOQUIA";"APARTADO";"15";99;"CHURIDO";4;635
"99";"ANTIOQUIA";"APARTADO";"21";99;"PUERTO GIRON";2;307
"100";"ANTIOQUIA";"APARTADO";"25";99;"SAN JOSE DE APARTADO";4;301
"101";"ANTIOQUIA";"APARTADO";"50";99;"EL REPOSO";12;1594
"102";"ANTIOQUIA";"ARBOLETES";"00";0;"PUESTO CABECERA MUNICIPAL";35;5504
"103";"ANTIOQUIA";"ARBOLETES";"03";99;"BUENOS AIRES";4;745
"104";"ANTIOQUIA";"ARBOLETES";"05";99;"EL CARMELO";4;780
"105";"ANTIOQUIA";"ARBOLETES";"06";99;"SANTAFE DE LAS PLATAS";4;738
"106";"ANTIOQUIA";"ARBOLETES";"08";99;"LAS NARANJITAS";3;445
"107";"ANTIOQUIA";"ARBOLETES";"12";99;"GUADUAL";5;1002
"108";"ANTIOQUIA";"ARBOLETES";"20";99;"LA CANDELARIA";5;935
"109";"ANTIOQUIA";"ARBOLETES";"75";99;"LA TRINIDAD";6;1042
"110";"ANTIOQUIA";"ARBOLETES";"80";99;"PAJILLAL";2;408
"111";"ANTIOQUIA";"ARGELIA";"00";0;"PUESTO CABECERA MUNICIPAL";17;2162
"112";"ANTIOQUIA";"ARGELIA";"04";99;"EL PITAL";1;58
"113";"ANTIOQUIA";"ARGELIA";"07";99;"EL ROSARIO SAN JULIAN";1;52
"114";"ANTIOQUIA";"ARGELIA";"10";99;"GUADUALITO";1;24
"115";"ANTIOQUIA";"ARGELIA";"20";99;"LA MARGARITA";1;19
"116";"ANTIOQUIA";"ARGELIA";"25";99;"MESONES";1;11
"117";"ANTIOQUIA";"ARGELIA";"80";99;"SAN AGUSTIN";1;76
"118";"ANTIOQUIA";"ARMENIA";"00";0;"PUESTO CABECERA MUNICIPAL";12;1490
"119";"ANTIOQUIA";"ARMENIA";"01";99;"LA HERRADURA";2;240
"120";"ANTIOQUIA";"BARBOSA";"01";1;"PBRO. LUIS EDUARDO PEREZ MOLIN";12;1880
"121";"ANTIOQUIA";"BARBOSA";"01";2;"BIBLIOTECA ISOLDA ECHAVARRIA M";12;1865
"122";"ANTIOQUIA";"BARBOSA";"01";98;"CARCEL";1;10
"123";"ANTIOQUIA";"BARBOSA";"01";99;"EL HATILLO";13;2069
"124";"ANTIOQUIA";"BARBOSA";"02";1;"INST. EDUC. MANUEL JOSE CAICED";22;2720
"125";"ANTIOQUIA";"BARBOSA";"02";2;"COL. COOPERATIVO SIMÓN BOLIVAR";10;1428
"126";"ANTIOQUIA";"BARBOSA";"03";1;"CASA DE LA CULTURA JOAQUIN EMI";11;1653
"127";"ANTIOQUIA";"BARBOSA";"03";2;"C.A.S DIEGO FERNANDEZ BARBOSA";15;2373
"128";"ANTIOQUIA";"BARBOSA";"04";1;"UNIDAD DEPORTIVA LOS BUCAROS";3;409
"129";"ANTIOQUIA";"BARBOSA";"04";2;"INST. EDUC. LUIS EDUARDO ARIAS";21;2940
"130";"ANTIOQUIA";"BELLO";"01";1;"I.E. ALBERTO DIAZ MUÑOZ";29;4119
"131";"ANTIOQUIA";"BELLO";"01";2;"I.E. ATANASIO GIRARDOT";43;5114
"132";"ANTIOQUIA";"BELLO";"01";3;"COLEGIO LA SALLE";37;6994
"133";"ANTIOQUIA";"BELLO";"01";4;"INST. UNIVERSITARIA MARCO FIDEL SUAREZ";27;3117
"134";"ANTIOQUIA";"BELLO";"01";5;"IE JORGE ELIECER GAITAN";52;8505
"135";"ANTIOQUIA";"BELLO";"01";6;"I.E. HERNAN VILLA BAENA";33;6129
"136";"ANTIOQUIA";"BELLO";"01";7;"I.E. CONCEJO DE BELLO";24;4362
"137";"ANTIOQUIA";"BELLO";"01";8;"I.E. LAS VEGAS";12;2210
"138";"ANTIOQUIA";"BELLO";"01";90;"INST.EDUCATIVA ANDRES BELLO";32;6596
"139";"ANTIOQUIA";"BELLO";"01";98;"CARCEL NACIONAL DE BELLAVISTA";2;258
"140";"ANTIOQUIA";"BELLO";"02";1;"I.E ALB. DIAZ MUÑOZ SECC.PRAD";6;792
"141";"ANTIOQUIA";"BELLO";"02";2;"COL. PARROQ. SAN FCO DE ASIS";53;8090
"142";"ANTIOQUIA";"BELLO";"02";3;"I.E. FERNANDO VELEZ";36;6908
"143";"ANTIOQUIA";"BELLO";"02";4;"COL JESUS DE LA BUENA ESPERANZ";46;6700
"144";"ANTIOQUIA";"BELLO";"02";5;"I.E. SANTA CATALINA";22;4074
"145";"ANTIOQUIA";"BELLO";"02";6;"I.E. GILBERTO ECHEVERRI MEJIA";17;3249
"146";"ANTIOQUIA";"BELLO";"02";7;"I.E FE Y ALEGRIA NUEVA GENERAC";21;4331
"147";"ANTIOQUIA";"BELLO";"02";8;"I.E FONTIDUEÑO JAIME ARANGO R";20;3231
"148";"ANTIOQUIA";"BELLO";"02";90;"CEDENORTE INSTITUTO TECNOLOGICO";35;6542
"149";"ANTIOQUIA";"BELLO";"03";1;"CENTRO EDUCAT RAQUEL JARAMILLO";21;2878
"150";"ANTIOQUIA";"BELLO";"03";2;"COL SAN BUENAVENTURA";20;3800
"151";"ANTIOQUIA";"BELLO";"03";3;"I.E. LA PRIMAVERA";17;3099
"152";"ANTIOQUIA";"BELLO";"03";4;"IE SAGRADO CORAZON";18;2017
"153";"ANTIOQUIA";"BELLO";"03";5;"I.E. LA MILAGROSA";21;3966
"154";"ANTIOQUIA";"BELLO";"03";6;"I.E. CIAL ANTONIO ROLDAN";20;3771
"155";"ANTIOQUIA";"BELLO";"03";7;"BETSABE ESPINAL";13;2539
"156";"ANTIOQUIA";"BELLO";"03";8;"I.E FEDERICO SIERRA ARANGO";35;4581
"157";"ANTIOQUIA";"BELLO";"04";1;"IE BARRIO PARIS";11;1119
"158";"ANTIOQUIA";"BELLO";"04";2;"I.E. TOMAS CADAVID RESTREPO";26;4746
"159";"ANTIOQUIA";"BELLO";"04";3;"I.E. NAZARETH";20;2930
"160";"ANTIOQUIA";"BELLO";"04";6;"IE VILLA DEL SOL SEC 1";20;3191
"161";"ANTIOQUIA";"BELLO";"04";7;"I.E. NAVARRA";12;2248
"162";"ANTIOQUIA";"BELLO";"04";8;"I.E. LA GABRIELA";17;2791
"163";"ANTIOQUIA";"BELLO";"05";3;"I.E. CARLOS PERES SEDE ROSALIA";1;143
"164";"ANTIOQUIA";"BELLO";"05";6;"IE VILLA DEL SOL SEC 2";1;189
"165";"ANTIOQUIA";"BELLO";"05";7;"COL NUESTRA SEÑORA DE CHIQUINQ";20;3678
"166";"ANTIOQUIA";"BELLO";"05";8;"IE ZAMORA CENTENARIO";1;144
"167";"ANTIOQUIA";"BELLO";"06";6;"IE JOSEFA CAMPOS";15;2574
"168";"ANTIOQUIA";"BELLO";"80";99;"SAN FELIX";7;1196
"169";"ANTIOQUIA";"BELMIRA";"00";0;"PUESTO CABECERA MUNICIPAL";9;1252
"170";"ANTIOQUIA";"BELMIRA";"01";99;"LABORES";2;166
"171";"ANTIOQUIA";"BELMIRA";"03";99;"LAS PLAYAS";4;637
"172";"ANTIOQUIA";"BELMIRA";"05";99;"QUEBRADITAS";1;41
"173";"ANTIOQUIA";"BETANIA";"00";0;"PUESTO CABECERA MUNICIPAL";23;3133
"174";"ANTIOQUIA";"BETANIA";"40";99;"LA LIBIA";2;202
"175";"ANTIOQUIA";"BETULIA";"00";0;"PUESTO CABECERA MUNICIPAL";28;2805
"176";"ANTIOQUIA";"BETULIA";"01";99;"ALTAMIRA";7;963
"177";"ANTIOQUIA";"BETULIA";"05";99;"CANGREJO";1;44
"178";"ANTIOQUIA";"BETULIA";"09";99;"LUCIANO RESTREPO";4;446
"179";"ANTIOQUIA";"BETULIA";"85";99;"YERBAL";2;165
"180";"ANTIOQUIA";"BOLIVAR";"01";1;"I.EDU. SAN JOSE DEL CITARA";14;1882
"181";"ANTIOQUIA";"BOLIVAR";"01";2;"I.EDUCATIVA JOSE MARIA HERRAN";16;1861
"182";"ANTIOQUIA";"BOLIVAR";"01";98;"CARCEL";1;15
"183";"ANTIOQUIA";"BOLIVAR";"01";99;"ALFONSO LOPEZ";3;342
"184";"ANTIOQUIA";"BOLIVAR";"02";1;"COLISEO CUBIERTO";17;1843
"185";"ANTIOQUIA";"BOLIVAR";"02";2;"I.E.MARIA AUXILIADORA";17;1706
"186";"ANTIOQUIA";"BOLIVAR";"08";99;"FARALLONES";3;375
"187";"ANTIOQUIA";"BOLIVAR";"50";99;"LA LINDA";2;162
"188";"ANTIOQUIA";"BRICEÑO";"00";0;"PUESTO CABECERA MUNICIPAL";13;2122
"189";"ANTIOQUIA";"BRICEÑO";"17";99;"BUENAVISTA";1;94
"190";"ANTIOQUIA";"BRICEÑO";"20";99;"BERLIN";1;182
"191";"ANTIOQUIA";"BRICEÑO";"22";99;"CHORRILLOS";1;110
"192";"ANTIOQUIA";"BRICEÑO";"25";99;"EL ANIME";1;43
"193";"ANTIOQUIA";"BRICEÑO";"30";99;"EL ROBLAL";2;229
"194";"ANTIOQUIA";"BRICEÑO";"40";99;"CHIRI";1;81
"195";"ANTIOQUIA";"BRICEÑO";"50";99;"LAS AURAS";2;321
"196";"ANTIOQUIA";"BRICEÑO";"60";99;"MORAVIA";1;115
"197";"ANTIOQUIA";"BURITICA";"00";0;"PUESTO CABECERA MUNICIPAL";15;1972
"198";"ANTIOQUIA";"BURITICA";"01";99;"URARCO";1;95
"199";"ANTIOQUIA";"BURITICA";"03";99;"EL NARANJO";2;140
"200";"ANTIOQUIA";"BURITICA";"04";99;"GUARCO";1;52
"201";"ANTIOQUIA";"BURITICA";"05";99;"TABACAL";3;426
"202";"ANTIOQUIA";"BURITICA";"13";99;"LA ANGELINA";1;102
"203";"ANTIOQUIA";"CACERES";"00";0;"PUESTO CABECERA MUNICIPAL";24;1971
"204";"ANTIOQUIA";"CACERES";"01";99;"GUARUMO";10;1135
"205";"ANTIOQUIA";"CACERES";"05";99;"EL JARDIN";14;1480
"206";"ANTIOQUIA";"CACERES";"07";99;"MANIZALES";3;295
"207";"ANTIOQUIA";"CACERES";"13";99;"PUERTO BELGICA";5;466
"208";"ANTIOQUIA";"CACERES";"29";99;"PIAMONTE";4;396
"209";"ANTIOQUIA";"CAICEDO";"00";0;"PUESTO CABECERA MUNICIPAL";17;2295
"210";"ANTIOQUIA";"CAICEDO";"23";99;"LA SALAZAR";1;100
"211";"ANTIOQUIA";"CALDAS";"01";1;"ESC. SANTA MARIA GORETTI";23;4195
"212";"ANTIOQUIA";"CALDAS";"01";2;"ESC. FEDERICO ANGEL";18;3260
"213";"ANTIOQUIA";"CALDAS";"02";1;"LICEO JOSE MARIA BERNAL";24;4033
"214";"ANTIOQUIA";"CALDAS";"02";2;"ESC. MARIA AUXILIADORA";31;6099
"215";"ANTIOQUIA";"CALDAS";"03";1;"I.E.GABRIEL ECHAVARRIA";12;1312
"216";"ANTIOQUIA";"CALDAS";"03";2;"I.E. SANTA INES";4;852
"217";"ANTIOQUIA";"CALDAS";"04";1;"I.E. JOAQUIN ARISTIZABAL";27;4538
"218";"ANTIOQUIA";"CALDAS";"04";2;"PARQUE HABITAT DEL SUR";12;1902
"219";"ANTIOQUIA";"CALDAS";"05";1;"CENTRO INTEGRACION CIUDADANA";3;688
"220";"ANTIOQUIA";"CALDAS";"05";2;"IE PEDRO LUIS ALVAREZ C";15;2468
"221";"ANTIOQUIA";"CALDAS";"06";2;"COLISEO";13;1952
"222";"ANTIOQUIA";"CAMPAMENTO";"00";0;"PUESTO CABECERA MUNICIPAL";17;1774
"223";"ANTIOQUIA";"CAMPAMENTO";"10";99;"LA CHIQUITA";1;123
"224";"ANTIOQUIA";"CAMPAMENTO";"80";99;"SOLITA";2;142
"225";"ANTIOQUIA";"CAÑASGORDAS";"00";0;"PUESTO CABECERA MUNICIPAL";30;4449
"226";"ANTIOQUIA";"CAÑASGORDAS";"05";99;"CESTILLAL";4;644
"227";"ANTIOQUIA";"CAÑASGORDAS";"09";99;"JUNTAS DE URAMITA";2;289
"228";"ANTIOQUIA";"CAÑASGORDAS";"13";99;"LA BALSA";1;137
"229";"ANTIOQUIA";"CAÑASGORDAS";"22";99;"SAN PASCUAL";3;443
"230";"ANTIOQUIA";"CARACOLI";"00";0;"PUESTO CABECERA MUNICIPAL";13;1678
"231";"ANTIOQUIA";"CARACOLI";"04";99;"CASCARON";1;64
"232";"ANTIOQUIA";"CARACOLI";"09";99;"EL BAGRE";1;54
"233";"ANTIOQUIA";"CARACOLI";"13";99;"LA CORTADA";1;39
"234";"ANTIOQUIA";"CARAMANTA";"00";0;"PUESTO CABECERA MUNICIPAL";12;1332
"235";"ANTIOQUIA";"CARAMANTA";"03";99;"ALEGRIAS";2;225
"236";"ANTIOQUIA";"CARAMANTA";"07";99;"BARRO BLANCO";1;59
"237";"ANTIOQUIA";"CARAMANTA";"15";99;"CHIRAPOTO";1;36
"238";"ANTIOQUIA";"CARAMANTA";"37";99;"SUCRE";1;125
"239";"ANTIOQUIA";"CAREPA";"01";1;"INST. EDUC. JOSE MARIA MUÑOZ";20;3180
"240";"ANTIOQUIA";"CAREPA";"01";2;"I.E. LICEO LUIS CARLOS GALAN S";22;2842
"241";"ANTIOQUIA";"CAREPA";"02";1;"INST. EDUCATIVA COLOMBIA";18;2429
"242";"ANTIOQUIA";"CAREPA";"02";2;"I.E. ACAIDANA";15;1976
"243";"ANTIOQUIA";"CAREPA";"03";1;"CREM (CENTRO DE RECURSOS EDUCA";6;583
"244";"ANTIOQUIA";"CAREPA";"03";2;"I.E. J.M.M SEDE SAN MARINO";11;1207
"245";"ANTIOQUIA";"CAREPA";"04";2;"COLISEO CUBIERTO";12;1225
"246";"ANTIOQUIA";"CAREPA";"20";99;"EL SILENCIO";5;572
"247";"ANTIOQUIA";"CAREPA";"30";99;"PIEDRAS BLANCAS";8;753
"248";"ANTIOQUIA";"CAREPA";"70";99;"ZUNGO EMBARCADERO";8;1101
"249";"ANTIOQUIA";"CARMEN DE VIBORAL";"01";1;"COLISEO MUNICIPAL";26;4720
"250";"ANTIOQUIA";"CARMEN DE VIBORAL";"01";2;"CASA DE LA CULTURA";26;5169
"251";"ANTIOQUIA";"CARMEN DE VIBORAL";"01";99;"LA ESPERANZA";1;153
"252";"ANTIOQUIA";"CARMEN DE VIBORAL";"02";1;"CENTRO DE CONVENCIONES";18;3586
"253";"ANTIOQUIA";"CARMEN DE VIBORAL";"02";2;"I.E. LA HORMIGUITA VIAJERA";22;4206
"254";"ANTIOQUIA";"CARMEN DE VIBORAL";"02";99;"ALTO GRANDE";1;48
"255";"ANTIOQUIA";"CARMEN DE VIBORAL";"03";99;"LA CHAPA";3;393
"256";"ANTIOQUIA";"CARMEN DE VIBORAL";"04";99;"SANTA RITA";1;38
"257";"ANTIOQUIA";"CARMEN DE VIBORAL";"05";99;"SANTA INES";1;64
"258";"ANTIOQUIA";"CARMEN DE VIBORAL";"15";99;"LA MADERA";2;165
"259";"ANTIOQUIA";"CARMEN DE VIBORAL";"40";99;"AGUAS CLARAS";4;756
"260";"ANTIOQUIA";"CAROLINA";"00";0;"PUESTO CABECERA MUNICIPAL";12;1553
"261";"ANTIOQUIA";"CAROLINA";"09";99;"GUANACAS";1;14
"262";"ANTIOQUIA";"CAUCASIA";"01";1;"I.E. SANTO DOMINGO";16;2503
"263";"ANTIOQUIA";"CAUCASIA";"01";2;"I.E. LA MISERICORDIA SN RAFAEL";4;526
"264";"ANTIOQUIA";"CAUCASIA";"01";98;"CARCEL";1;32
"265";"ANTIOQUIA";"CAUCASIA";"02";1;"IE SANTO DOMINGO NUEVA SANTA H";13;1696
"266";"ANTIOQUIA";"CAUCASIA";"02";2;"COL MIL EL TESORO DEL SABER";6;707
"267";"ANTIOQUIA";"CAUCASIA";"03";1;"I.E. LICEO CAUCASIA STA HELENA";4;596
"268";"ANTIOQUIA";"CAUCASIA";"03";2;"I.E. LA MISERICORDIA PPAL";24;3655
"269";"ANTIOQUIA";"CAUCASIA";"04";1;"I.E. LICEO CAUCASIA";26;3715
"270";"ANTIOQUIA";"CAUCASIA";"04";2;"INST.EDUC.MARCO FIDEL SUAREZ";23;2627
"271";"ANTIOQUIA";"CAUCASIA";"05";1;"I.E. CONCEJO MUNICIPAL";4;298
"272";"ANTIOQUIA";"CAUCASIA";"05";2;"I.E. DIVINO NIÑO PRINCIPAL";20;2820
"273";"ANTIOQUIA";"CAUCASIA";"05";99;"CUTURU";6;627
"274";"ANTIOQUIA";"CAUCASIA";"06";1;"I.E. STA TERESITA LOMA FRESCA";8;1116
"275";"ANTIOQUIA";"CAUCASIA";"06";2;"I.E. DIVINO NIÑO SEC CARACOLI";11;1720
"276";"ANTIOQUIA";"CAUCASIA";"06";99;"EL PANDO";2;119
"277";"ANTIOQUIA";"CAUCASIA";"07";1;"I.E. STA TERESITA CENTRO";19;2534
"278";"ANTIOQUIA";"CAUCASIA";"07";2;"I.E. DIVINO NIÑO SEDE SAN JOSE";2;270
"279";"ANTIOQUIA";"CAUCASIA";"08";1;"I.E.ANTIOQUIA LA GRANDE";1;172
"280";"ANTIOQUIA";"CAUCASIA";"08";2;"I.E. LAS MALVINAS";5;722
"281";"ANTIOQUIA";"CAUCASIA";"10";99;"LA ILUSION";1;130
"282";"ANTIOQUIA";"CAUCASIA";"17";99;"MARGENTO";3;141
"283";"ANTIOQUIA";"CAUCASIA";"25";99;"PALANCA";1;119
"284";"ANTIOQUIA";"CAUCASIA";"27";99;"PUERTO COLOMBIA";2;75
"285";"ANTIOQUIA";"CAUCASIA";"28";99;"PALOMAR";2;141
"286";"ANTIOQUIA";"CAUCASIA";"40";99;"PUERTO GLORIA";3;117
"287";"ANTIOQUIA";"CAUCASIA";"60";99;"PUERTO TRIANA";2;63
"288";"ANTIOQUIA";"CAUCASIA";"70";99;"SANTA ROSITA";1;144
"289";"ANTIOQUIA";"CHIGORODO";"01";1;"ESC. SIMON BOLIVAR";24;2738
"290";"ANTIOQUIA";"CHIGORODO";"01";2;"INSTITUCIÓN EDUCATIVA CHIGOROD";22;2902
"291";"ANTIOQUIA";"CHIGORODO";"01";90;"INST.EDUCATIVA LOS ANDES";18;4996
"292";"ANTIOQUIA";"CHIGORODO";"02";1;"ESC. BRISAS DEL RIO";10;1182
"293";"ANTIOQUIA";"CHIGORODO";"02";2;"LICEO MUNICIPAL";36;4603
"294";"ANTIOQUIA";"CHIGORODO";"05";99;"BARRANQUILLITA";2;233
"295";"ANTIOQUIA";"CISNEROS";"00";0;"PUESTO CABECERA MUNICIPAL";33;4558
"296";"ANTIOQUIA";"COCORNA";"00";0;"PUESTO CABECERA MUNICIPAL";30;5124
"297";"ANTIOQUIA";"COCORNA";"02";99;"AGUALINDA";1;47
"298";"ANTIOQUIA";"COCORNA";"03";99;"LA PIÑUELA";3;466
